Name	r_ratio	r	EarlyStop	Method	PruneRate	Pruned	DtwCalls	DtwBaselineTime	PrepTime	LbTime	DtwTime	TotalTime	Speedup
ArticularyWordRecognition	0.01	2	1	MV	0.992594	81889	611	1.233	0.004	0.028	0.002	0.034	36.2647
ArticularyWordRecognition	0.01	2	1	P_MV	0.992691	81897	603	1.233	0.003	0.316	0.002	0.321	3.84112
ArticularyWordRecognition	0.01	2	1	WEB_MV	0.992655	81894	606	1.233	0.015	0.432	0.002	0.449	2.7461
ArticularyWordRecognition	0.01	2	1	MC1	0.985503	81304	1196	1.233	0.002	0.022	0.002	0.026	47.4231
ArticularyWordRecognition	0.01	2	1	MC2	0.989455	81630	870	1.233	0.002	0.055	0.001	0.058	21.2586
Name	r_ratio	r	EarlyStop	Method	PruneRate	Pruned	DtwCalls	DtwBaselineTime	PrepTime	LbTime	DtwTime	TotalTime	Speedup
ArticularyWordRecognition	0.01	2	1	MV	0.992594	81889	611	1.233	0.005	0.028	0.004	0.037	33.3243
ArticularyWordRecognition	0.01	2	1	MC1	0.985503	81304	1196	1.233	0.006	0.016	0.003	0.025	49.32
ArticularyWordRecognition	0.01	2	1	MC2	0.989455	81630	870	1.233	0.005	0.051	0.003	0.059	20.8983

AtrialFibrillation	0.01	7	1	MV	0.866667	195	30	0.027	0	0.001	0	0.001	27
AtrialFibrillation	0.01	7	1	MC1	0.866667	195	30	0.027	0	0	0.001	0.001	27
AtrialFibrillation	0.01	7	1	MC2	0.866667	195	30	0.027	0.001	0	0	0.001	27

BasicMotions	0.01	1	1	MV	0.941875	1507	93	0.01	0	0.001	0.001	0.002	5
BasicMotions	0.01	1	1	MC1	0.916875	1467	133	0.01	0	0.001	0	0.001	10
BasicMotions	0.01	1	1	MC2	0.928125	1485	115	0.01	0	0.002	0	0.002	5

Cricket	0.01	12	1	MV	0.981353	7631	145	3.049	0.006	0.004	0.021	0.031	98.3548
Cricket	0.01	12	1	MC1	0.978266	7607	169	3.049	0.004	0.011	0.012	0.027	112.926
Cricket	0.01	12	1	MC2	0.980581	7625	151	3.049	0.008	0.017	0.017	0.042	72.5952

DuckDuckGeese	0.01	3	1	MV	0.96	2400	100	7.214	0.314	0.219	0.129	0.662	10.8973
DuckDuckGeese	0.01	3	1	MC1	0.9532	2383	117	7.214	0.044	0.002	0.126	0.172	41.9419
DuckDuckGeese	0.01	3	1	MC2	0.9596	2399	101	7.214	0.04	0.002	0.133	0.175	41.2229

Epilepsy	0.01	3	1	MV	0.982915	18583	323	0.214	0	0.016	0.001	0.017	12.5882
Epilepsy	0.01	3	1	MC1	0.958743	18126	780	0.214	0	0.011	0.001	0.012	17.8333
Epilepsy	0.01	3	1	MC2	0.978049	18491	415	0.214	0.002	0.025	0	0.027	7.92593

ERing	0.01	1	1	MV	0.93	7533	567	0.014	0	0	0.003	0.003	4.66667
ERing	0.01	1	1	MC1	0.902469	7310	790	0.014	0	0.002	0	0.002	7
ERing	0.01	1	1	MC2	0.918148	7437	663	0.014	0	0.002	0.001	0.003	4.66667

EthanolConcentration	0.01	18	1	MV	0.985024	67615	1028	32.474	0.016	0.127	0.257	0.4	81.185
EthanolConcentration	0.01	18	1	MC1	0.957709	65740	2903	32.474	0.015	0.092	0.539	0.646	50.2693
EthanolConcentration	0.01	18	1	MC2	0.981091	67345	1298	32.474	0.023	0.253	0.294	0.57	56.9719

FingerMovements	0.01	1	1	MV	0.993639	31399	201	0.115	0.001	0.033	0	0.034	3.38235
FingerMovements	0.01	1	1	MC1	0.422152	13340	18260	0.115	0.001	0.006	0.004	0.011	10.4545
FingerMovements	0.01	1	1	MC2	0.553165	17480	14120	0.115	0.002	0.012	0.002	0.016	7.1875

HandMovementDirection	0.01	4	1	MV	0.9875	11692	148	0.513	0.009	0.003	0.003	0.015	34.2
HandMovementDirection	0.01	4	1	MC1	0.9875	11692	148	0.513	0.002	0.008	0.003	0.013	39.4615
HandMovementDirection	0.01	4	1	MC2	0.9875	11692	148	0.513	0.005	0.021	0.003	0.029	17.6897

Handwriting	0.01	2	1	MV	0.986094	125727	1773	0.795	0.003	0.027	0.003	0.033	24.0909
Handwriting	0.01	2	1	MC1	0.977718	124659	2841	0.795	0.001	0.024	0.005	0.03	26.5
Handwriting	0.01	2	1	MC2	0.984502	125524	1976	0.795	0.002	0.078	0.007	0.087	9.13793

Heartbeat	0.01	5	1	MV	0.990196	41410	410	9.361	0.094	0.357	0.052	0.503	18.6103
Heartbeat	0.01	5	1	MC1	0.98967	41388	432	9.361	0.018	0.037	0.047	0.102	91.7745
Heartbeat	0.01	5	1	MC2	0.990196	41410	410	9.361	0.022	0.096	0.032	0.15	62.4067

Libras	0.01	1	1	MV	0.98142	31798	602	0.041	0	0.003	0.001	0.004	10.25
Libras	0.01	1	1	MC1	0.97071	31451	949	0.041	0.002	0.001	0.001	0.004	10.25
Libras	0.01	1	1	MC2	0.989012	32044	356	0.041	0	0.006	0	0.006	6.83333

LSST	0.01	1	1	MV	0.998946	6057503	6391	9.015	0.018	1.25	0.009	1.277	7.05951
LSST	0.01	1	1	MC1	0.99477	6032177	31717	9.015	0.011	0.694	0.02	0.725	12.4345
LSST	0.01	1	1	MC2	0.998114	6052456	11438	9.015	0.009	1.672	0.012	1.693	5.32487

NATOPS	0.01	1	1	MV	0.988889	32040	360	0.107	0.001	0.013	0	0.014	7.64286
NATOPS	0.01	1	1	MC1	0.980617	31772	628	0.107	0.001	0.006	0	0.007	15.2857
NATOPS	0.01	1	1	MC2	0.985432	31928	472	0.107	0.001	0.01	0	0.011	9.72727

PenDigits	0.01	1	1	MV	0.964996	25296405	917607	10.305	0.001	1.689	0.492	2.182	4.72273
PenDigits	0.01	1	1	MC1	0.971288	25461357	752655	10.305	0.005	1.279	0.28	1.564	6.58887
PenDigits	0.01	1	1	MC2	0.99976	26207725	6287	10.305	0.009	2.466	0.001	2.476	4.16195

RacketSports	0.01	1	1	MV	0.982442	22549	403	0.026	0	0.004	0	0.004	6.5
RacketSports	0.01	1	1	MC1	0.936302	21490	1462	0.026	0	0.003	0	0.003	8.66667
RacketSports	0.01	1	1	MC2	0.970939	22285	667	0.026	0	0.006	0.001	0.007	3.71429

SelfRegulationSCP1	0.01	9	1	MV	0.992537	77938	586	10.773	0.008	0.045	0.039	0.092	117.098
SelfRegulationSCP1	0.01	9	1	MC1	0.992537	77938	586	10.773	0.01	0.034	0.032	0.076	141.75
SelfRegulationSCP1	0.01	9	1	MC2	0.992537	77938	586	10.773	0.016	0.177	0.04	0.233	46.2361

